social_site,date,number_results,error
telegram,2021-12-06,64,NA
truth_social,2021-12-06,0,NA
gettr,2021-12-06,103,NA
parler,2021-12-06,46,NA
gab,2021-12-06,176,NA
telegram,2021-12-07,15,NA
truth_social,2021-12-07,0,NA
gettr,2021-12-07,82,NA
parler,2021-12-07,42,NA
gab,2021-12-07,132,NA
telegram,2021-12-08,27,NA
truth_social,2021-12-08,0,NA
gettr,2021-12-08,57,NA
parler,2021-12-08,13,NA
gab,2021-12-08,107,NA
telegram,2021-12-09,18,NA
truth_social,2021-12-09,0,NA
gettr,2021-12-09,99,NA
parler,2021-12-09,23,NA
gab,2021-12-09,168,NA
telegram,2021-12-10,18,NA
truth_social,2021-12-10,0,NA
gettr,2021-12-10,138,NA
parler,2021-12-10,29,NA
gab,2021-12-10,164,NA
telegram,2021-12-11,17,NA
truth_social,2021-12-11,0,NA
gettr,2021-12-11,70,NA
parler,2021-12-11,11,NA
gab,2021-12-11,120,NA
telegram,2021-12-12,30,NA
truth_social,2021-12-12,0,NA
gettr,2021-12-12,89,NA
parler,2021-12-12,7,NA
gab,2021-12-12,111,NA
telegram,2021-12-13,43,NA
truth_social,2021-12-13,0,NA
gettr,2021-12-13,87,NA
parler,2021-12-13,12,NA
gab,2021-12-13,185,NA
telegram,2021-12-14,29,NA
truth_social,2021-12-14,0,NA
gettr,2021-12-14,75,NA
parler,2021-12-14,6,NA
gab,2021-12-14,129,NA
telegram,2021-12-15,18,NA
truth_social,2021-12-15,0,NA
gettr,2021-12-15,86,NA
parler,2021-12-15,37,NA
gab,2021-12-15,93,NA
telegram,2021-12-16,24,NA
truth_social,2021-12-16,0,NA
gettr,2021-12-16,90,NA
parler,2021-12-16,23,NA
gab,2021-12-16,114,NA
telegram,2021-12-17,14,NA
truth_social,2021-12-17,0,NA
gettr,2021-12-17,62,NA
parler,2021-12-17,28,NA
gab,2021-12-17,94,NA
telegram,2021-12-18,13,NA
truth_social,2021-12-18,0,NA
gettr,2021-12-18,66,NA
parler,2021-12-18,20,NA
gab,2021-12-18,92,NA
telegram,2021-12-19,5,NA
truth_social,2021-12-19,0,NA
gettr,2021-12-19,74,NA
parler,2021-12-19,14,NA
gab,2021-12-19,53,NA
telegram,2021-12-20,8,NA
truth_social,2021-12-20,0,NA
gettr,2021-12-20,80,NA
parler,2021-12-20,4,NA
gab,2021-12-20,143,NA
telegram,2021-12-21,15,NA
